id,2012_yil_sonu_sgk,2012_yil_sonu_resmi_gelir,ocak_2012_sgk,agustos_2013_sgk,agustos_2013_gelir,mesleki_durum
65211035,0,0.0,0.0,0.0,0.0,0.0
65240033,1,2.0,0.0,0.0,0.0,45.0
65882036,1,1.0,1.0,0.0,0.0,0.0
65358120,0,0.0,0.0,0.0,0.0,0.0
68304030,1,891.5,1.0,0.0,0.0,38.0
66264020,1,3.0,1.0,1.0,566.67,
67289062,1,891.5,0.0,0.0,0.0,45.0
68232050,0,0.0,0.0,1.0,1116.84,
64373027,1,4.0,1.0,1.0,1349.76,0.0
66891050,1,887.5,1.0,0.0,0.0,38.0
64353021,0,0.0,0.0,0.0,0.0,0.0
64247022,0,0.0,0.0,1.0,1547.7,0.0
64344004,1,5.0,0.0,1.0,1050.0,0.0
66542009,0,0.0,0.0,0.0,0.0,0.0
68097035,1,887.5,0.0,0.0,0.0,49.0
68232036,1,1192.31,1.0,1.0,1435.14,45.0
67032006,0,0.0,1.0,1.0,1941.59,0.0
68158005,0,0.0,1.0,0.0,0.0,0.0
68386032,0,0.0,1.0,1.0,1021.5,69.0
68405039,1,982.79,1.0,1.0,1258.89,55.0
60409027,0,0.0,1.0,0.0,0.0,38.0
68402017,0,0.0,0.0,0.0,0.0,0.0
67032014,1,905.0,1.0,0.0,0.0,45.0
64068018,1,389.48,1.0,0.0,0.0,69.0
68302061,1,3.0,0.0,1.0,1021.5,0.0
64296001,0,0.0,0.0,0.0,0.0,45.0
68302027,0,0.0,0.0,0.0,0.0,0.0
67573034,1,261.42,1.0,1.0,1100.0,0.0
64260016,0,0.0,0.0,0.0,0.0,0.0
66922068,1,1701.96,0.0,1.0,2713.01,32.0
65293030,1,901.8,1.0,1.0,1021.5,23.0
61177025,1,1095.56,1.0,1.0,1297.62,68.0
68302036,0,0.0,0.0,0.0,0.0,0.0
64247028,1,1024.35,0.0,1.0,1154.35,25.0
67032069,1,1672.62,1.0,1.0,1498.99,55.0
66922009,1,939.55,1.0,1.0,1021.5,43.0
67703039,0,0.0,0.0,0.0,0.0,0.0
68096039,0,0.0,0.0,1.0,1052.36,0.0
68096020,1,891.5,0.0,1.0,1021.5,45.0
64244023,0,0.0,0.0,0.0,0.0,25.0
68233021,0,0.0,1.0,0.0,0.0,
65436013,1,1.0,1.0,0.0,0.0,0.0
65480008,1,890.5,1.0,0.0,0.0,0.0
64248016,0,0.0,0.0,1.0,655.47,0.0
68444022,0,0.0,0.0,0.0,0.0,45.0
64336010,0,0.0,0.0,0.0,0.0,0.0
66809045,1,889.5,1.0,0.0,0.0,0.0
68097059,1,4.0,1.0,1.0,1376.75,0.0
64338008,1,826.43,1.0,1.0,136.2,0.0
66264007,0,0.0,0.0,0.0,0.0,0.0
67843013,1,1.0,1.0,1.0,1748.47,0.0
67700045,1,1603.5,1.0,1.0,3251.99,49.0
67845030,1,967.82,1.0,0.0,0.0,33.0
