id,kursu_veren_kurum,kursu_tamamlama_durumu,sertifika_alma_durumu
64431012,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
65984077,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
64297014,Mesleki Egitim Ve Ogretim Merkezi (Mem),,
65749010,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
67579046,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
66891044,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
66837042,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
67460036,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
64283018,Kamu Ofisi,,
67288029,Kamu Ofisi,1.0,1.0
67407027,Mesleki Egitim Ve Ogretim Merkezi (Mem),1.0,1.0
67703026,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,0.0,0.0
64295013,Meslek Lisesi,,
65179006,Meslek Lisesi,,
64297039,Mesleki Egitim Ve Ogretim Merkezi (Mem),1.0,1.0
67289077,Kamu Ofisi,1.0,1.0
68097039,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
64357037,Kamu Ofisi,,
67034023,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
68405006,Kamu Ofisi,,
66451025,Stk'Lar,,
68097046,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
66922028,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
59026034,Kamu Ofisi,0.0,0.0
65984080,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
65984106,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
66922039,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
68449023,Meslek Lisesi,,
65988027,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
68402046,Kamu Ofisi,1.0,1.0
66809015,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
64300036,Meslek Lisesi,1.0,1.0
68119023,Ozel Isletme,1.0,1.0
64244024,Meslek Lisesi,0.0,0.0
68304077,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,0.0,0.0
64281015,Meslek Lisesi,,
65687031,Universite,1.0,1.0
64273008,Meslek Lisesi,,
64248022,Meslek Lisesi,1.0,1.0
65358133,Halk Egitim Merkezi (Hem),0.0,0.0
67289006,Kamu Ofisi,,
64330011,Kamu Ofisi,,
66264023,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
68402024,Kamu Ofisi,,
67034051,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
67034052,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
66922069,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
59026015,Kamu Ofisi,,
67032023,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
65358069,Halk Egitim Merkezi (Hem),,
65232007,Meslek Lisesi,,
59026001,Kamu Ofisi,,
66837041,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
68097003,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
64337016,Kamu Ofisi,,
66891018,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
66382007,Stk'Lar,,
65358166,Halk Egitim Merkezi (Hem),0.0,0.0
66922057,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,0.0,0.0
66891014,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
67034012,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
64431044,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
67032074,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
65749004,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
68449018,Meslek Lisesi,,
64295015,Meslek Lisesi,,
64236004,Universite,0.0,0.0
68232035,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
64068029,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,0.0
68233045,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
64067021,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
64346008,Kamu Ofisi,,
68302019,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
65211035,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
65240033,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
65882036,Meslek Lisesi,0.0,0.0
65358120,Halk Egitim Merkezi (Hem),1.0,1.0
68304030,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
66264020,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
67289062,Kamu Ofisi,1.0,1.0
68232050,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
64373027,"Kamu Ofisi, Meslek Lisesi",0.0,0.0
66891050,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
64353021,Kamu Ofisi,0.0,0.0
64247022,Meslek Lisesi,0.0,0.0
64344004,Kamu Ofisi,,
66542009,Meslek Lisesi,,
68097035,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
68232036,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
67032006,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
68158005,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
68386032,Kamu Ofisi,1.0,1.0
68405039,Kamu Ofisi,1.0,1.0
60409027,Universite,0.0,0.0
68402017,Kamu Ofisi,,
67032014,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
64068018,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
68302061,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
64296001,Mesleki Egitim Ve Ogretim Merkezi (Mem),,
68302027,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
67573034,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
64260016,Halk Egitim Merkezi (Hem),,
66922068,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
65293030,Universite,1.0,1.0
61177025,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
68302036,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
64247028,Meslek Lisesi,1.0,1.0
67032069,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
66922009,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
67703039,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,0.0,0.0
68096039,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
68096020,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
64244023,Meslek Lisesi,1.0,1.0
68233021,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
65436013,Meslek Lisesi,,
65480008,Meslek Lisesi,,
64248016,Meslek Lisesi,,
68444022,Meslek Lisesi,,
64336010,Kamu Ofisi,,
66809045,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
68097059,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
64338008,Kamu Ofisi,,
66264007,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
67843013,Universite,,
67700045,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
67845030,Universite,1.0,1.0
68357039,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
64244001,Meslek Lisesi,1.0,1.0
67799045,Ortaokul (Universite),0.0,0.0
66451035,Stk'Lar,1.0,1.0
68304010,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
64337040,Kamu Ofisi,1.0,1.0
68158056,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
64067008,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
67826041,Ortaokul (Universite),1.0,1.0
67289005,Kamu Ofisi,,
64392015,"Kamu Ofisi, Meslek Lisesi",,
65240061,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
66086048,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
67579009,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
64337042,Kamu Ofisi,0.0,0.0
65293011,Universite,,
64264009,Kamu Ofisi,,
64295033,Meslek Lisesi,0.0,0.0
65883029,Meslek Lisesi,1.0,1.0
64298021,Meslek Lisesi,,
67288004,Kamu Ofisi,,
67289030,Kamu Ofisi,,
65042011,Kamu Ofisi,,
67845043,Universite,1.0,1.0
64357009,Kamu Ofisi,,
65240058,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
67843041,Universite,1.0,1.0
67289076,Kamu Ofisi,1.0,1.0
67032046,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
65293016,Universite,,
67460009,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
61177034,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
66086027,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,0.0,0.0
65293002,Universite,,
64067003,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
65883010,Meslek Lisesi,,
67703033,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,0.0,0.0
64295005,Meslek Lisesi,,
65753036,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
61177008,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
64300031,Meslek Lisesi,1.0,1.0
64174009,Universite,,
65883006,Meslek Lisesi,,
64244010,Meslek Lisesi,1.0,1.0
67803040,Ortaokul (Universite),0.0,0.0
64356018,Kamu Ofisi,,
64247023,Meslek Lisesi,1.0,1.0
68449042,Meslek Lisesi,1.0,1.0
67843050,Universite,1.0,1.0
67842001,Universite,,
68233012,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
67573038,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
64352023,Kamu Ofisi,1.0,1.0
67700050,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
67032001,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
65042050,Kamu Ofisi,1.0,1.0
64431031,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
64262007,Halk Egitim Merkezi (Hem),,
68232018,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
67803050,Ortaokul (Universite),1.0,1.0
67683025,Ortaokul (Universite),,
65476039,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
65496014,Meslek Lisesi,,
67842010,Universite,,
65496009,Meslek Lisesi,,
68158046,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
65473024,Meslek Lisesi,0.0,0.0
67288019,Kamu Ofisi,,
68096021,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,0.0,0.0
64186035,Universite,1.0,1.0
67288020,Kamu Ofisi,,
66922077,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,0.0,0.0
64343031,Kamu Ofisi,1.0,1.0
67032018,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
68097066,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
64372016,"Meslek Lisesi, Devlet Dairesi",0.0,0.0
68097062,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
67843025,Universite,,
65358173,Halk Egitim Merkezi (Hem),1.0,1.0
65753021,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
68302032,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
66837006,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
67407006,Mesleki Egitim Ve Ogretim Merkezi (Mem),,
64337050,Kamu Ofisi,1.0,1.0
66542039,Meslek Lisesi,0.0,0.0
68302058,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,0.0,0.0
67288008,Kamu Ofisi,,
67573031,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
65473010,Meslek Lisesi,,
68444010,Meslek Lisesi,,
64361027,Meslek Lisesi,,
64343011,Kamu Ofisi,,
67683038,Ortaokul (Universite),1.0,1.0
68096029,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
67288027,Kamu Ofisi,1.0,1.0
66837037,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
60409038,Universite,1.0,1.0
66922022,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
66451012,Stk'Lar,,
68119031,Ozel Isletme,0.0,0.0
64284001,Meslek Lisesi,,
66382029,Stk'Lar,0.0,0.0
64174031,Universite,1.0,1.0
64281001,Meslek Lisesi,,
